تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1401/06/14,20:00,لیگ برتر ایران,1401-1402,هفته 5,ذوب آهن,1,1,0,1,0,https://video.varzesh3.com/video/259467/
1401/06/19,17:30,لیگ برتر ایران,1401-1402,هفته 6,آلومینیوم اراک,0,0,0,1,1,https://video.varzesh3.com/video/259946/
1401/07/10,17:00,لیگ برتر ایران,1401-1402,هفته 7,هوادار,2,1,1,3,0,https://video.varzesh3.com/video/261292/
1401/07/15,20:00,لیگ برتر ایران,1401-1402,هفته 8,پرسپولیس,0,0,0,1,1,https://video.varzesh3.com/video/261671/
1401/07/21,18:30,لیگ برتر ایران,1401-1402,هفته 9,صنعت نفت آبادان,2,0,2,3,0,https://video.varzesh3.com/video/262032/
1401/07/28,15:00,لیگ برتر ایران,1401-1402,هفته 10,تراکتور,4,2,2,3,1,https://video.varzesh3.com/video/262471/
1401/08/06,16:30,لیگ برتر ایران,1401-1402,هفته 11,مس رفسنجان,0,0,0,1,0,https://video.varzesh3.com/video/263127/
1401/09/28,15:00,لیگ برتر ایران,1401-1402,هفته 12,ملوان,0,0,0,1,0,https://video.varzesh3.com/video/267702/
1401/10/03,15:00,لیگ برتر ایران,1401-1402,هفته 13,نفت مسجدسلیمان,4,0,4,3,1,https://video.varzesh3.com/video/268112/
1401/10/10,14:00,لیگ برتر ایران,1401-1402,هفته 14,پیکان,0,1,-1,0,0,https://video.varzesh3.com/video/268650/
1401/10/15,15:00,لیگ برتر ایران,1401-1402,هفته 15,مس کرمان,2,0,2,3,1,https://video.varzesh3.com/video/269085/
1401/10/21,16:00,جام حذفی ایران,1401-1402,یک شانزدهم,سایپا,3,0,3,3,1,https://video.varzesh3.com/video/269649/
