تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1385/01/11,17:45,لیگ برتر ایران,1384-1385,هفته 24,صبای قم,1,2,-1,0,0,
1385/01/15,15:45,لیگ برتر ایران,1384-1385,هفته 27,ابومسلم,2,2,0,1,1,
1385/01/20,17:00,لیگ برتر ایران,1384-1385,هفته 28,استقلال اهواز,2,2,0,1,0,
1385/01/27,16:30,لیگ برتر ایران,1384-1385,هفته 29,راه‌آهن,1,1,0,1,1,
1385/02/01,16:30,لیگ برتر ایران,1384-1385,هفته 30,سپاهان,0,2,-2,0,0,
1385/06/18,15:30,لیگ برتر ایران,1385-1386,هفته 1,ابومسلم,2,3,-1,0,0,
1385/06/26,17:30,لیگ برتر ایران,1385-1386,هفته 2,برق شیراز,1,0,1,3,1,
1385/07/06,20:00,لیگ برتر ایران,1385-1386,هفته 4,استقلال اهواز,4,0,4,3,1,
1385/07/10,20:00,لیگ برتر ایران,1385-1386,هفته 5,پیکان,2,0,2,3,0,
1385/07/25,20:00,لیگ برتر ایران,1385-1386,هفته 6,سایپا,2,2,0,1,1,
1385/07/30,17:30,لیگ برتر ایران,1385-1386,هفته 3,سپاهان,0,0,0,1,0,
1385/08/05,16:40,لیگ برتر ایران,1385-1386,هفته 7,پاس همدان,1,1,0,1,0,
1385/08/12,14:30,لیگ برتر ایران,1385-1386,هفته 8,استقلال,2,1,1,3,1,
1385/08/16,14:30,لیگ برتر ایران,1385-1386,هفته 9,مس کرمان,0,0,0,1,0,
1385/08/30,16:15,لیگ برتر ایران,1385-1386,هفته 10,فجر سپاسی,2,2,0,1,1,
1384/01/21,19:00,لیگ برتر ایران,1383-1384,هفته 24,صبای قم,1,0,1,3,1,
1384/01/26,17:00,لیگ برتر ایران,1383-1384,هفته 25,فجر سپاسی,0,0,0,1,0,
1384/02/04,17:00,لیگ برتر ایران,1383-1384,هفته 26,پگاه گیلان,6,0,6,3,1,
1384/02/08,17:00,لیگ برتر ایران,1383-1384,هفته 27,پاس همدان,1,1,0,1,0,
1384/02/16,17:00,لیگ برتر ایران,1383-1384,هفته 28,سایپا,1,0,1,3,0,
1384/02/25,15:00,لیگ برتر ایران,1383-1384,هفته 22,سپاهان,1,2,-1,0,1,
1384/03/21,17:30,لیگ برتر ایران,1383-1384,هفته 29,ابومسلم,3,2,1,3,1,
1384/03/30,17:30,لیگ برتر ایران,1383-1384,هفته 30,ذوب آهن,2,3,-1,0,0,
1384/06/11,17:00,لیگ برتر ایران,1384-1385,هفته 1,فجر سپاسی,2,2,0,1,0,
1384/06/18,17:00,لیگ برتر ایران,1384-1385,هفته 2,سایپا,0,0,0,1,1,
1384/07/01,16:00,لیگ برتر ایران,1384-1385,هفته 4,شموشک نوشهر,1,2,-1,0,0,
1384/07/08,17:00,لیگ برتر ایران,1384-1385,هفته 5,شهید قندی یزد,1,0,1,3,1,
1384/07/11,16:00,لیگ برتر ایران,1384-1385,هفته 6,فولاد,0,1,-1,0,0,
1384/07/24,19:00,لیگ برتر ایران,1384-1385,هفته 7,ذوب آهن,1,1,0,1,1,
1384/07/28,16:00,لیگ برتر ایران,1384-1385,هفته 8,برق شیراز,1,0,1,3,0,
1384/08/05,19:15,لیگ برتر ایران,1384-1385,هفته 9,صبای قم,2,2,0,1,1,
1384/08/14,15:00,لیگ برتر ایران,1384-1385,هفته 10,استقلال,0,1,-1,0,0,
1384/08/24,17:30,لیگ برتر ایران,1384-1385,هفته 11,ملوان,4,1,3,3,1,
1384/08/29,14:00,لیگ برتر ایران,1384-1385,هفته 12,ابومسلم,1,1,0,1,0,
1384/09/04,16:00,لیگ برتر ایران,1384-1385,هفته 13,استقلال اهواز,1,0,1,3,1,
1384/09/08,16:00,لیگ برتر ایران,1384-1385,هفته 3,پاس همدان,1,0,1,3,1,
1384/09/24,14:30,لیگ برتر ایران,1384-1385,هفته 14,راه‌آهن,0,0,0,1,0,
1384/10/02,16:15,لیگ برتر ایران,1384-1385,هفته 15,سپاهان,2,3,-1,0,1,
1384/10/09,15:00,لیگ برتر ایران,1384-1385,هفته 16,فجر سپاسی,2,4,-2,0,1,
1383/02/06,18:00,لیگ برتر ایران,1382-1383,هفته 25,ذوب آهن,2,1,1,3,1,
1383/02/14,17:00,لیگ برتر ایران,1382-1383,هفته 26,فولاد,0,1,-1,0,0,
1383/06/24,17:30,لیگ برتر ایران,1383-1384,هفته 1,فولاد,1,3,-2,0,0,
1383/06/29,18:30,لیگ برتر ایران,1383-1384,هفته 2,برق شیراز,1,1,0,1,1,
1383/07/03,17:15,لیگ برتر ایران,1383-1384,هفته 3,پیکان,1,0,1,3,0,
1383/07/10,17:15,لیگ برتر ایران,1383-1384,هفته 4,ملوان,1,2,-1,0,1,
1383/07/26,15:00,لیگ برتر ایران,1383-1384,هفته 5,شموشک نوشهر,1,0,1,3,0,
1383/08/01,18:30,لیگ برتر ایران,1383-1384,هفته 6,استقلال,0,0,0,1,1,
1383/08/08,14:30,لیگ برتر ایران,1383-1384,هفته 7,سپاهان,0,0,0,1,0,
1383/08/21,18:30,لیگ برتر ایران,1383-1384,هفته 8,استقلال اهواز,2,0,2,3,1,
1383/08/29,14:30,لیگ برتر ایران,1383-1384,هفته 9,صبای قم,0,0,0,1,0,
1383/09/06,16:20,لیگ برتر ایران,1383-1384,هفته 10,فجر سپاسی,5,1,4,3,1,
1383/09/20,16:20,لیگ برتر ایران,1383-1384,هفته 12,پاس همدان,2,1,1,3,1,
1383/09/24,14:15,لیگ برتر ایران,1383-1384,هفته 11,پگاه گیلان,1,0,1,3,0,
1383/09/29,15:00,لیگ برتر ایران,1383-1384,هفته 13,سایپا,1,0,1,3,1,
1383/10/04,14:30,لیگ برتر ایران,1383-1384,هفته 14,ابومسلم,0,1,-1,0,0,
1383/10/10,15:00,لیگ برتر ایران,1383-1384,هفته 15,ذوب آهن,1,0,1,3,1,
1383/10/18,14:30,لیگ برتر ایران,1383-1384,هفته 16,فولاد,0,2,-2,0,1,
1383/10/25,14:30,لیگ برتر ایران,1383-1384,هفته 17,برق شیراز,2,1,1,3,0,
1383/11/01,15:00,لیگ برتر ایران,1383-1384,هفته 18,پیکان,2,1,1,3,1,
1383/11/29,17:00,لیگ برتر ایران,1383-1384,هفته 20,شموشک نوشهر,2,1,1,3,1,
1383/12/07,15:00,لیگ برتر ایران,1383-1384,هفته 21,استقلال,2,3,-1,0,0,
1383/12/11,17:00,لیگ برتر ایران,1383-1384,هفته 19,ملوان,2,1,1,3,0,
1383/12/20,15:30,لیگ برتر ایران,1383-1384,هفته 23,استقلال اهواز,1,1,0,1,0,
1382/06/07,17:30,لیگ برتر ایران,1382-1383,هفته 1,پگاه گیلان,8,2,6,3,1,
1382/06/17,17:00,لیگ برتر ایران,1382-1383,هفته 2,ابومسلم,1,0,1,3,0,
1382/06/22,19:00,لیگ برتر ایران,1382-1383,هفته 3,فجر سپاسی,5,2,3,3,1,
1382/06/27,17:00,لیگ برتر ایران,1382-1383,هفته 4,پیکان,1,2,-1,0,0,
1382/07/08,17:30,لیگ برتر ایران,1382-1383,هفته 5,سپاهان,3,3,0,1,1,
