تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1401/06/08,19:00,لیگ برتر ایران,1401-1402,هفته 4,ملوان,1,1,0,1,0,https://video.varzesh3.com/video/258893/
1401/06/14,20:00,لیگ برتر ایران,1401-1402,هفته 5,سپاهان,1,1,0,1,1,https://video.varzesh3.com/video/259467/
1401/06/19,19:00,لیگ برتر ایران,1401-1402,هفته 6,مس کرمان,0,0,0,1,0,https://video.varzesh3.com/video/259966/
1401/07/09,19:00,لیگ برتر ایران,1401-1402,هفته 7,پیکان,1,0,1,3,1,https://video.varzesh3.com/video/261204/
1401/07/14,15:03,لیگ برتر ایران,1401-1402,هفته 8,نساجی مازندران,0,0,0,1,0,https://video.varzesh3.com/video/261529/
1401/07/22,17:30,لیگ برتر ایران,1401-1402,هفته 9,استقلال,0,1,-1,0,1,https://video.varzesh3.com/video/262114/
1401/07/29,17:00,لیگ برتر ایران,1401-1402,هفته 10,گل گهر سیرجان,0,1,-1,0,0,https://video.varzesh3.com/video/262579/
1401/08/06,18:30,لیگ برتر ایران,1401-1402,هفته 11,نفت مسجدسلیمان,5,1,4,3,1,https://video.varzesh3.com/video/263145/
1401/09/28,16:00,لیگ برتر ایران,1401-1402,هفته 12,آلومینیوم اراک,1,0,1,3,1,https://video.varzesh3.com/video/267705/
1401/10/03,17:00,لیگ برتر ایران,1401-1402,هفته 13,فولاد,1,1,0,1,0,https://video.varzesh3.com/video/268122/
1401/10/09,14:00,لیگ برتر ایران,1401-1402,هفته 14,صنعت نفت آبادان,2,2,0,1,1,https://video.varzesh3.com/video/268533/
1401/10/14,14:00,لیگ برتر ایران,1401-1402,هفته 15,هوادار,0,1,-1,0,0,https://video.varzesh3.com/video/268971/
1401/10/21,14:00,جام حذفی ایران,1401-1402,یک شانزدهم,مس رفسنجان,0,1,-1,0,0,https://video.varzesh3.com/video/269631/
1401/10/30,16:30,لیگ برتر ایران,1401-1402,هفته 16,پرسپولیس,0,1,-1,0,0,https://video.varzesh3.com/video/270398/
1401/11/07,14:00,لیگ برتر ایران,1401-1402,هفته 17,تراکتور,1,3,-2,0,1,https://video.varzesh3.com/video/270946/
1401/11/13,15:00,لیگ برتر ایران,1401-1402,هفته 18,مس رفسنجان,0,0,0,1,0,https://video.varzesh3.com/video/271480/
1401/11/19,15:00,لیگ برتر ایران,1401-1402,هفته 19,ملوان,1,1,0,1,1,https://video.varzesh3.com/video/272031/خلاصه-بازی-ذوب-آهن-1-ملوان-1
1401/11/25,15:30,لیگ برتر ایران,1401-1402,هفته 20,سپاهان,1,2,-1,0,0,https://video.varzesh3.com/video/272560/خلاصه-بازی-سپاهان-2-ذوب-آهن-1-گزارش-اختصاصی
1401/12/08,15:00,لیگ برتر ایران,1401-1402,هفته 21,مس کرمان,1,0,1,3,1,https://video.varzesh3.com/video/273702/خلاصه-بازی-ذوب-آهن-1-مس-کرمان-0
1401/12/14,15:00,لیگ برتر ایران,1401-1402,هفته 22,پیکان,0,0,0,1,0,https://video.varzesh3.com/video/274461/خلاصه-بازی-پیکان-0-ذوب-آهن-0
1401/12/22,15:00,لیگ برتر ایران,1401-1402,هفته 23,نساجی مازندران,1,0,1,3,1,https://video.varzesh3.com/video/275104/خلاصه-بازی-ذوب-آهن-1-نساجی-0
1400/09/19,15:00,لیگ برتر ایران,1400-1401,هفته 9,نفت مسجدسلیمان,1,1,0,1,0,https://video.varzesh3.com/video/243030/
1400/09/24,15:00,لیگ برتر ایران,1400-1401,هفته 10,هوادار,0,1,-1,0,1,https://video.varzesh3.com/video/243295/
1400/09/28,15:00,جام حذفی ایران,1400-1401,1/16 نهایی,دریا بابل,3,0,3,3,1,https://video.varzesh3.com/video/243513/
1400/10/03,17:00,لیگ برتر ایران,1400-1401,هفته 11,پرسپولیس,0,2,-2,0,0,https://video.varzesh3.com/video/243766/
1400/10/08,15:00,لیگ برتر ایران,1400-1401,هفته 12,تراکتور,1,0,1,3,0,https://video.varzesh3.com/video/244009/
1400/10/13,16:15,لیگ برتر ایران,1400-1401,هفته 13,فجر سپاسی,2,0,2,3,1,https://video.varzesh3.com/video/244247/
1400/10/18,14:00,لیگ برتر ایران,1400-1401,هفته 14,نساجی مازندران,0,1,-1,0,0,https://video.varzesh3.com/video/244533/
1400/10/23,15:00,لیگ برتر ایران,1400-1401,هفته 15,گل گهر سیرجان,0,0,0,1,1,https://video.varzesh3.com/video/244853/
1400/10/27,15:30,جام حذفی ایران,1400-1401,1/8 نهایی,پرسپولیس,0,3,-3,0,1,https://video.varzesh3.com/video/245097/
1400/11/03,15:00,لیگ برتر ایران,1400-1401,هفته 16,صنعت نفت آبادان,0,1,-1,0,1,https://video.varzesh3.com/video/245415/
1400/11/24,19:00,لیگ برتر ایران,1400-1401,هفته 17,استقلال,0,1,-1,0,0,https://video.varzesh3.com/video/246560/
1400/11/29,15:00,لیگ برتر ایران,1400-1401,هفته 18,پیکان,0,2,-2,0,1,https://video.varzesh3.com/video/246796/
1400/12/04,15:00,لیگ برتر ایران,1400-1401,هفته 19,سپاهان,0,0,0,1,0,https://video.varzesh3.com/video/247088/
1400/12/09,16:30,لیگ برتر ایران,1400-1401,هفته 20,شهرخودرو مشهد,2,1,1,3,1,https://video.varzesh3.com/video/247418/
1400/12/15,16:00,لیگ برتر ایران,1400-1401,هفته 21,فولاد,2,1,1,3,0,https://video.varzesh3.com/video/247764/
1400/12/20,15:00,لیگ برتر ایران,1400-1401,هفته 22,آلومینیوم اراک,4,0,4,3,1,https://video.varzesh3.com/video/248085/
1400/12/27,15:00,لیگ برتر ایران,1400-1401,هفته 23,مس رفسنجان,1,0,1,3,0,https://video.varzesh3.com/video/248514/
1401/01/16,20:30,لیگ برتر ایران,1400-1401,هفته 24,نفت مسجدسلیمان,0,1,-1,0,1,https://video.varzesh3.com/video/249432/
1401/02/14,18:30,لیگ برتر ایران,1400-1401,هفته 25,هوادار,0,1,-1,0,0,https://video.varzesh3.com/video/251145/
1401/02/19,18:30,لیگ برتر ایران,1400-1401,هفته 26,پرسپولیس,1,1,0,1,1,https://video.varzesh3.com/video/251431/
1401/02/24,20:00,لیگ برتر ایران,1400-1401,هفته 27,تراکتور,0,0,0,1,1,https://video.varzesh3.com/video/251798/
1401/02/29,20:00,لیگ برتر ایران,1400-1401,هفته 28,فجر سپاسی,1,0,1,3,0,https://video.varzesh3.com/video/252095/
1401/03/03,20:00,لیگ برتر ایران,1400-1401,هفته 29,نساجی مازندران,0,0,0,1,1,https://video.varzesh3.com/video/252476/
1401/03/12,20:00,لیگ برتر ایران,1400-1401,هفته 30,گل گهر سیرجان,2,3,-1,0,0,https://video.varzesh3.com/video/253101/
1399/12/16,17:30,لیگ برتر ایران,1399-1400,هفته 17,ماشین سازی تبریز,2,0,2,3,1,https://video.varzesh3.com/video/229221/
1399/12/21,15:00,جام حذفی ایران,1399-1400,1/16 نهایی,شهرخودرو مشهد,2,1,1,3,1,https://video.varzesh3.com/video/229494/
1399/12/27,16:00,لیگ برتر ایران,1399-1400,هفته 18,پیکان,0,1,-1,0,0,https://video.varzesh3.com/video/229873/
1400/01/14,17:30,لیگ برتر ایران,1399-1400,هفته 19,صنعت نفت آبادان,1,0,1,3,1,https://video.varzesh3.com/video/230704/
1400/01/26,20:30,لیگ برتر ایران,1399-1400,هفته 20,شهرخودرو مشهد,1,1,0,1,0,https://video.varzesh3.com/video/231361/
1400/02/19,22:15,لیگ برتر ایران,1399-1400,هفته 22,استقلال,2,0,2,3,0,https://video.varzesh3.com/video/232532/
1400/02/24,17:55,لیگ برتر ایران,1399-1400,هفته 23,گل گهر سیرجان,0,1,-1,0,0,https://video.varzesh3.com/video/232855/
1400/02/29,19:35,جام حذفی ایران,1399-1400,1/8 نهایی,استقلال,1,2,-1,0,0,https://video.varzesh3.com/video/233129/
1400/03/03,19:30,لیگ برتر ایران,1399-1400,هفته 21,پرسپولیس,1,2,-1,0,1,https://video.varzesh3.com/video/233370/
1400/04/04,19:40,لیگ برتر ایران,1399-1400,هفته 24,آلومینیوم اراک,1,1,0,1,1,https://video.varzesh3.com/video/234785/
1400/04/09,19:15,لیگ برتر ایران,1399-1400,هفته 25,تراکتور,0,1,-1,0,0,https://video.varzesh3.com/video/235023/
1400/04/14,19:40,لیگ برتر ایران,1399-1400,هفته 26,سایپا,1,1,0,1,1,https://video.varzesh3.com/video/235270/
1400/04/22,21:00,لیگ برتر ایران,1399-1400,هفته 27,نفت مسجدسلیمان,3,2,1,3,0,https://video.varzesh3.com/video/235658/
1400/04/29,21:15,لیگ برتر ایران,1399-1400,هفته 28,نساجی مازندران,1,2,-1,0,1,https://video.varzesh3.com/video/236035/
1400/05/03,21:15,لیگ برتر ایران,1399-1400,هفته 29,سپاهان,0,2,-2,0,0,https://video.varzesh3.com/video/236266/
1400/05/08,21:15,لیگ برتر ایران,1399-1400,هفته 30,مس رفسنجان,0,1,-1,0,1,https://video.varzesh3.com/video/236511/
1400/07/28,18:00,لیگ برتر ایران,1400-1401,هفته 1,صنعت نفت آبادان,1,0,1,3,0,https://video.varzesh3.com/video/240237/
1400/08/03,18:00,لیگ برتر ایران,1400-1401,هفته 2,استقلال,0,2,-2,0,1,https://video.varzesh3.com/video/240530/
1400/08/14,18:00,لیگ برتر ایران,1400-1401,هفته 4,سپاهان,1,0,1,3,1,https://video.varzesh3.com/video/241139/
1400/08/21,16:00,لیگ برتر ایران,1400-1401,هفته 3,پیکان,0,1,-1,0,0,https://video.varzesh3.com/video/241524/
1400/08/27,15:00,لیگ برتر ایران,1400-1401,هفته 5,شهرخودرو مشهد,2,1,1,3,0,https://video.varzesh3.com/video/241807/
1400/09/03,17:00,لیگ برتر ایران,1400-1401,هفته 6,فولاد,0,1,-1,0,1,https://video.varzesh3.com/video/242131/
1400/09/09,15:00,لیگ برتر ایران,1400-1401,هفته 7,آلومینیوم اراک,0,0,0,1,0,https://video.varzesh3.com/video/242485/
1400/09/14,15:00,لیگ برتر ایران,1400-1401,هفته 8,مس رفسنجان,0,3,-3,0,1,https://video.varzesh3.com/video/242760/
1399/04/14,20:45,لیگ برتر ایران,1398-1399,هفته 23,پیکان,1,4,-3,0,1,https://video.varzesh3.com/video/216638/
1399/04/20,21:00,لیگ برتر ایران,1398-1399,هفته 24,شاهین شهرداری بوشهر,5,1,4,3,0,https://video.varzesh3.com/video/216935/
1399/04/26,20:45,لیگ برتر ایران,1398-1399,هفته 25,ماشین سازی تبریز,1,2,-1,0,1,https://video.varzesh3.com/video/217258/
1399/05/02,21:00,لیگ برتر ایران,1398-1399,هفته 26,فولاد,1,2,-1,0,0,https://video.varzesh3.com/video/217603/
1399/05/10,20:30,لیگ برتر ایران,1398-1399,هفته 27,نفت مسجدسلیمان,1,1,0,1,1,https://video.varzesh3.com/video/218007/
1399/05/17,20:30,لیگ برتر ایران,1398-1399,هفته 28,پرسپولیس,1,0,1,3,0,https://video.varzesh3.com/video/218347/
1399/05/25,20:45,لیگ برتر ایران,1398-1399,هفته 29,نساجی مازندران,0,0,0,1,0,https://video.varzesh3.com/video/218788/
1399/05/30,20:45,لیگ برتر ایران,1398-1399,هفته 30,گل گهر سیرجان,2,3,-1,0,1,https://video.varzesh3.com/video/219042/
1399/08/16,16:30,لیگ برتر ایران,1399-1400,هفته 1,فولاد,2,2,0,1,1,https://video.varzesh3.com/video/222567/
1399/08/30,16:35,لیگ برتر ایران,1399-1400,هفته 2,ماشین سازی تبریز,1,1,0,1,0,https://video.varzesh3.com/video/223225/
1399/09/06,16:20,لیگ برتر ایران,1399-1400,هفته 3,پیکان,1,1,0,1,1,https://video.varzesh3.com/video/223529/
1399/09/11,16:40,لیگ برتر ایران,1399-1400,هفته 4,صنعت نفت آبادان,0,1,-1,0,0,https://video.varzesh3.com/video/223770/
